"BLCA" "BRCA_1" "BRCA_2" "COAD_READ" "HNSC" "KICH" "KIRC" "KIRP" "LIHC" "LUAD" "LUSC" "PRAD" "STES" "THCA" "UCEC"
"ADNP" 3 1 2 5 13 12 11 14 15 9 4 8 6 10 7
"AEBP2" 6 12 10 13 4 8 5 9 15 7 1 11 3 2 14
"AFF1" 9 6 14 12 13 3 2 4 15 8 11 5 7 1 10
"AFF4" 14 1 9 15 10 6 2 8 12 7 11 4 5 3 13
"AGO1" 9 5 2 13 11 15 6 12 14 7 4 3 1 10 8
"AGO2" 9 8 2 4 5 14 10 13 15 6 3 12 1 11 7
"AHR" 1 9 10 11 6 14 7 8 12 3 4 15 2 5 13
"APOBEC3B" 4 9 3 6 2 10 12 14 11 8 1 15 5 13 7
"AR" 8 2 7 15 14 9 5 3 4 10 12 1 13 11 6
"ARID1A" 9 2 5 11 10 14 12 13 15 3 4 6 1 7 8
"ARID2" 8 1 7 13 14 10 4 12 15 11 3 6 2 9 5
"ARID3A" 7 9 10 1 8 4 12 15 13 5 3 11 2 14 6
"ARID5B" 9 5 6 12 10 15 2 11 14 8 4 1 3 13 7
"ARNT" 10 1 3 13 14 15 4 11 6 2 5 12 7 8 9
"ARNT2" 12 2 8 13 14 1 7 5 15 10 9 6 11 4 3
"ARNTL" 15 5 7 12 6 11 4 9 10 3 2 14 8 1 13
"ARRB1" 8 2 7 4 14 15 6 9 11 1 12 5 3 10 13
"ASCL1" 9 2 10 14 11 6 13 15 4 1 5 3 7 12 8
"ASCL2" 4 8 7 1 5 15 11 13 14 9 6 10 2 12 3
"ASH1L" 9 1 3 10 11 14 8 13 15 4 7 5 2 6 12
"ASH2L" 4 1 3 8 12 14 6 13 15 7 2 11 10 5 9
"ASXL1" 9 8 4 3 14 1 5 13 15 6 10 12 2 11 7
"ATF1" 12 6 9 5 10 11 7 14 15 4 2 8 3 1 13
"ATF2" 12 2 8 11 15 14 1 6 13 3 7 9 5 4 10
"ATF3" 5 15 11 7 9 6 3 14 13 8 4 2 10 1 12
"ATF4" 6 11 2 4 9 7 10 15 12 8 3 1 13 14 5
"ATF7IP" 11 3 2 13 8 12 4 9 15 7 6 14 5 1 10
"ATOH1" 7 15 10 1 8 13 12 11 9 5 6 3 2 14 4
"AUTS2" 13 1 2 4 8 9 5 14 15 6 3 10 12 11 7
"BACH1" 12 11 7 10 1 13 2 9 14 5 3 4 6 8 15
"BACH2" 15 4 2 14 6 10 12 13 11 5 1 8 7 3 9
"BAHD1" 6 3 11 10 14 2 13 8 15 4 5 12 7 1 9
"BANF1" 1 9 3 8 6 11 15 10 14 12 4 7 13 5 2
"BANP" 4 6 2 3 12 15 14 10 11 8 5 9 7 13 1
"BARX1" 6 9 5 10 3 14 13 15 12 4 2 11 1 8 7
"BARX2" 12 4 2 11 3 5 1 10 15 8 9 7 6 14 13
"BATF" 1 2 5 7 8 15 10 14 11 3 6 13 4 12 9
"BATF3" 12 10 3 7 6 15 2 11 14 1 4 13 8 5 9
"BCAT1" 11 10 4 12 6 5 8 13 14 2 3 15 9 7 1
"BCL11A" 8 13 2 3 4 15 12 10 14 7 1 9 6 11 5
"BCL11B" 6 9 5 4 1 15 7 11 14 8 2 12 3 10 13
"BCL3" 6 8 9 5 7 15 13 12 10 4 3 11 1 14 2
"BCL6" 2 5 6 15 7 14 4 8 13 3 1 10 9 11 12
"BCLAF1" 9 1 3 10 13 14 11 12 15 7 6 5 2 4 8
"BCOR" 12 3 8 5 13 11 10 14 15 4 9 1 2 6 7
"BHLHE40" 9 1 10 12 6 3 4 8 15 5 7 14 11 2 13
"BIRA" 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15
"BMI1" 6 1 3 13 15 12 5 14 10 7 9 4 2 8 11
"BPTF" 8 2 3 12 13 14 9 10 15 4 5 6 1 7 11
"BRCA1" 4 6 7 2 5 15 12 11 13 9 3 14 1 10 8
"BRD1" 4 9 6 7 10 13 14 12 15 8 1 5 2 11 3
"BRD2" 7 2 4 10 11 13 12 14 15 6 3 1 9 5 8
"BRD3" 13 2 5 6 12 10 14 11 15 9 7 1 3 8 4
"BRD4" 5 9 4 8 7 6 13 12 15 10 3 11 1 14 2
"BRD7" 4 11 2 6 8 1 14 12 15 10 5 13 7 3 9
"BRD9" 2 9 6 5 7 14 13 11 15 3 1 12 8 10 4
"BRDU" 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15
"BRPF3" 14 1 6 7 15 8 9 13 11 2 10 5 3 4 12
"BTAF1" 8 3 6 10 12 14 2 11 15 5 4 9 1 7 13
"C11orf30" 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15
"C17orf49" 2 7 5 14 11 15 8 10 13 3 6 4 12 1 9
"CAMTA2" 9 5 10 11 13 8 6 1 15 7 12 2 4 3 14
"CASP8AP2" 8 3 1 7 10 14 9 13 15 6 4 12 2 5 11
"CBFA2T2" 9 6 8 2 14 7 13 10 15 11 4 1 3 12 5
"CBFB" 3 11 1 4 8 14 10 12 15 5 2 13 7 6 9
"CBX1" 5 3 1 11 8 14 12 9 15 6 2 7 13 10 4
"CBX2" 5 8 1 6 4 14 13 15 12 7 3 10 9 11 2
"CBX3" 4 2 1 3 8 14 12 10 15 6 5 13 9 11 7
"CBX4" 7 1 8 5 11 14 15 13 10 4 6 3 2 9 12
"CBX5" 14 2 5 12 13 8 3 1 15 9 11 10 7 4 6
"CBX6" 10 7 9 14 13 6 4 1 15 8 3 5 11 2 12
"CBX8" 3 5 8 1 11 14 15 10 9 4 7 6 12 13 2
"CCDC101" 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15
"CCND2" 13 11 10 2 7 14 5 3 15 9 6 8 4 1 12
"CCNT2" 1 3 9 12 14 13 7 11 15 2 4 10 5 6 8
"CD59" 12 7 3 15 6 1 5 4 14 8 9 11 13 2 10
"CD74" 15 8 6 13 11 10 1 7 12 2 9 14 5 3 4
"CDC5L" 8 2 1 6 9 15 11 14 13 5 3 7 4 10 12
"CDCA2" 8 9 2 6 4 13 1 14 11 10 5 12 3 15 7
"CDK12" 8 2 3 5 7 15 10 11 14 6 4 9 1 12 13
"CDK2" 1 5 3 4 7 15 11 12 14 8 2 10 9 13 6
"CDK6" 15 12 5 4 1 9 7 6 11 10 3 8 2 14 13
"CDK7" 8 1 10 2 5 14 6 11 15 7 12 9 13 4 3
"CDK8" 4 11 3 1 6 12 13 9 14 8 5 10 2 15 7
"CDK9" 9 7 12 11 3 10 13 6 14 4 5 8 15 2 1
