"likelihood" "bart" "expr" "rank_size"
"1" 2.91322786205481e-44 0.87 1.8809430113184 6
"2" 3.7704259629056e-16 0.45 2.09946523102568 2
"3" 2.63827077099124e-24 0.427 2.18850966044532 1
"4" 3.9085365324301e-05 0.336 1.66499168857526 9
"5" 9.56863443859717e-56 0.684 1.41816581779345 14
"6" 2.22314707040735e-18 0.137 0.942645377221269 15
"7" 2.47805043873542e-23 0.523 1.82644772027534 7
"8" 6.06703628977667e-32 0.219 1.58251229705056 11
"9" 1.92154427723697e-105 0.564 1.44718568431363 13
"10" 4.18672783934687e-51 0.59 1.9802634303843 3
"11" 1.68347329164606e-19 0.519 1.88213963006389 5
"12" 1.6884055482036e-32 0.66 1.5492842175259 12
"13" 1.44910346877534e-29 0.687 1.78875521726256 8
"14" 9.10305139140627e-08 0.315 1.64192498652849 10
"15" 2.49122847018519e-23 0.58 1.97420833275359 4
