"BLCA" "BRCA_1" "BRCA_2" "COAD_READ." "HNSC" "KICH" "KIRC" "KIRP" "LIHC" "LUAD" "LUSC" "PRAD" "STES." "THCA" "UCEC"
"AFF4" 0.668611841046664 0.770858469707873 0.288174143275851 0.0749389798968566 0.181361872476727 0.941906496294548 0.694831602656997 0.922622542179949 0.428189543395222 0.224087768251471 0.00943094687188768 0.858029061326382 0.670172424000111 0.279615119390234 0.294951189493504
"ARID3A" 0.0728438544760272 0.000286108961588613 0.968809783179904 0.0235406272792231 0.000520435350674246 0.515798190684602 0.138383794163582 0.291190571050214 0.00259712474026601 0.00201016560038739 0.108369092578079 0.0204967482819236 0.407516325742533 0.361210732327939 0.661623165324514
"AR" 0.0527052714757851 0.018956740042843 0.000246396778696822 0.00425576117383013 0.00478425501621386 0.467692218280725 0.00333096297382639 0.0856309106676655 0.361365436702815 2.82358828584147e-05 3.69746914852912e-06 0.0178046946189538 0.311119953332509 0.972099260246027 0.0227676963655604
"ARNT" 0.379569255339305 0.878775526577306 0.490303210242132 0.226651050633017 0.193803133995947 0.22633798124878 0.725766721153904 0.699156816334774 0.103982131022141 0.509769074679293 0.776526106627283 0.367153599739487 0.363450735217913 0.405401255422337 0.860135608115481
"ARNTL" 0.763697459767219 0.54442467100537 0.0735414033208962 1 0.17994555199791 0.0115855902876502 0.0236756092325006 0.554193148020149 1.02433333529829e-08 0.0315954384957426 0.26400430545455 0.0608692513296845 0.00946165618193949 0.0351049681756372 0.000534287131607591
"ASCL1" 0.658579432721978 0.0840971820242931 0.502980473871716 0.0988466144356319 0.695908229328763 0.0390678333960263 0.674664006070478 0.25057741664035 0.21729890474352 0.55392226242547 0.0444071998477438 0.00889921975103383 0.222585888664632 0.583924114279664 0.0926415662500977
"ASH2L" 0.829083469612776 1.58421824245799e-07 8.15940496301695e-05 0.00401970201871697 1.26662580957699e-16 0.0953392261522218 1.7887290382877e-05 1.52876342571249e-23 0.00346617290097532 7.20083433284432e-06 1.610204443165e-14 0.752392846705438 3.55048147671036e-08 0.000468798081315168 5.16957086011634e-06
"ATF1" 0.105591145139844 0.196057217342485 0.0773384100736653 0.0274407739572026 0.00472513288972735 0.307152354406454 0.27132801556217 0.420798945393176 0.0667606311238731 0.415186652725841 0.210341367108515 0.285764071451606 5.38567802017762e-07 0.850910168350563 0.0171573436462028
"ATF2" 0.475887782701822 0.843653766780307 0.257997818583661 0.996597147888544 4.65633461073192e-06 0.602630702521412 0.572431781848635 0.438388300944673 5.7169668672158e-09 0.813804289544772 0.0312357795038602 0.698554898096449 0.59005655736333 0.630714184762349 0.00625435460620951
"ATF3" 0.000812545129402162 0.782369480244174 0.613536269288478 0.00921627921752929 0.0132468130355229 0.0179793043894437 0.142230613254671 0.0202989640047861 0.01764876426478 0.871738026334361 0.129657981154759 0.0550064152154975 0.39891392949657 0.000108614086856376 4.34623288831283e-05
"ATF4" 0.00715477844478835 0.656693042403824 0.000156214933874447 0.00802662348387732 0.00132254765885337 0.381105624315565 0.337615503311727 0.581097397363003 0.286699107938294 0.174431464543045 2.43928484931594e-08 0.0709525248088708 0.1427343049249 0.0746071311945114 0.575589388909042
"ATF7" 0.1132191358508 0.740524467563269 0.063334696820293 0.388826883072199 0.181899310724051 0.00559672216532679 0.450859513365718 0.311231756499282 0.0277625247781433 0.960106171301497 0.0166920088318927 0.0723538405017737 0.133881038765732 0.453307378636237 0.809624346059719
"BACH1" 0.802607479337706 0.748745411894585 0.596842130020644 0.764372824901551 0.510430348425461 0.88831392733852 0.13246493246952 0.815220621658637 0.143517620098827 0.996010404402872 0.969693394946488 0.120432781972594 0.944793488905712 0.494239529443114 0.114999685489204
"BACH2" 0.00963873238671053 0.38983887356082 0.370610111976804 0.0501826316946168 0.0835986727189348 0.0503353948553006 0.156772612881704 0.854420235167015 0.000699403701723301 0.0444822358589894 0.289832377538044 0.0362863432719982 0.151115648391534 0.585341204865687 0.0632254404758807
"BATF" 0.427287025881412 0.433988748604229 4.62106124888466e-14 1.32687805158295e-05 0.00030851720511156 0.00226956845504326 9.08614355007797e-12 0.00202915832235391 5.45416857267994e-06 3.57450404506821e-06 5.74131717105515e-05 2.19531290647139e-05 0.0102254993610891 4.5113223171385e-07 4.66352806959079e-11
"BCL11A" 0.371347476710264 0.0683171874845458 0.594966269640918 0.841338041543219 0.876129299264511 0.39844960087878 0.0158387167055882 0.278810866449162 3.97659227572096e-05 0.00857832725995292 8.18766986526554e-07 0.581919749244332 0.00130506145890055 0.871665578260085 0.172148024964025
"BCL3" 1.46351802620498e-05 0.486446034316334 4.1269386608251e-09 0.722100593540357 0.70776395285489 0.0150800123496154 0.403039316166831 0.734569371964255 0.000291390392120877 0.890990836756771 0.528405583690014 0.0613252420546015 0.00471921734472044 0.84574917641219 0.946768231807261
"BCL6" 0.0084499910783821 0.524829856528958 0.19257049510284 1.41555354115856e-06 0.549158166939226 0.0194820338365723 0.903983176641425 0.767138588245719 4.60783148340907e-06 0.582147710917641 0.000433434885116654 0.000343659772859063 0.578243226178794 0.00192706620428718 0.0968325360395976
"BDP1" 0.186366901697194 0.582392841138387 0.548904563494667 0.67402374051406 0.893004196833403 0.188116952239164 0.210982740055218 0.777132509174434 0.372005260491079 0.269167572701688 0.541837171698488 0.540725635888895 0.849741419518992 0.466453652242114 0.850990039087806
"BHLHE40" 0.0242083537535835 0.236451009541576 0.248940219261232 0.0244837184807467 0.0857146237640076 0.195305043764194 0.126913610538457 0.234507452835003 0.000408523206947472 0.164534901256903 0.891703708327075 0.00425979845735825 1.62679017107872e-07 0.215080685358935 0.109833411394197
"BMI1" 0.822258177017419 0.05371754800686 0.411210446367281 0.164169177893208 0.00756697329384535 0.292006232888223 0.578862548055451 0.744095098258616 9.68779810979401e-07 0.568086911781603 0.761128678023036 0.69708679063359 0.440379230280865 0.80767980388044 0.630536781546703
"BRCA1" 6.51806870154611e-13 7.30638124767985e-34 1.67478160137388e-20 5.69321200548423e-28 1.88329456742933e-23 2.54141720762292e-08 0.00222553208504706 1.45638850648066e-09 6.66449636443156e-55 6.94591980464706e-10 3.20398232808381e-25 0.000560607483470221 2.62489774357698e-27 1.06860002491789e-12 8.30672099109277e-16
"BRD1" 6.59249648444378e-25 0.161317156937131 0.965931435703278 0.0922326100638434 5.08042076922945e-06 0.7866104147882 3.97663102381405e-07 7.95821489121506e-10 3.78666690826334e-19 0.010692589805827 1.13141608176792e-09 1.26570182069111e-14 1.17680272280097e-10 1.55059955610858e-08 1.32750253635347e-06
"BRD2" 8.10256346297059e-18 1.53733875211631e-18 8.861241347639e-06 0.233465625211589 2.79536210535665e-16 0.927842936551999 3.68886780018656e-07 0.0439476004875833 4.00638193137077e-23 3.39928017257109e-12 1.55510746743945e-07 6.06027285369903e-08 1.25074602704953e-32 2.00584462977068e-06 7.40293604553716e-10
"BRD3" 0.0138887815481298 0.000263646206530521 1.41941941751675e-06 0.983479629442613 0.000206674821498883 6.1369106633273e-07 0.352208678463052 0.0158267137123935 1.77290102332091e-13 0.183343845390705 0.000146394745321759 0.0229766691007088 1.44863022367568e-05 0.00699382996445325 0.0774626510037501
