"BLCA" "BRCA_1" "BRCA_2" "COAD_READ." "HNSC" "KICH" "KIRC" "KIRP" "LIHC" "LUAD" "LUSC" "PRAD" "STES." "THCA" "UCEC"
"BRD4" 3.3175447713865e-20 0.723118826956717 1.30932745053406e-15 0.0118083937703805 1.41224364754579e-13 2.25260207400898e-23 0.8142173353792 0.020736001476631 1.5387461696254e-13 0.070771684722569 1.41711863116745e-06 0.556040394412965 0.00888201253001675 0.0441763193879251 0.0656759519930738
"BRF1" 0.264388473711876 0.340143329249073 0.611126846757555 0.369242098366146 0.202636929005878 0.974980223676786 0.673090563732382 0.482227951288677 0.537355587291001 0.359790446089753 0.99497812582548 0.587971522684711 0.164391829977419 0.243884702047827 0.264091205151434
"BRF2" 0.73082325518405 0.501608403610935 0.261514446710897 0.890566122173436 0.708705877671092 0.70925219149145 0.188430753025794 0.22478018841588 0.92457845886363 0.384781765152981 0.842302571772106 0.278494210908259 0.29364016413664 0.577993482857106 0.569848653465954
"C17orf96" 0.0270187130259086 0.352974603833068 0.561154149110429 1.30386146680423e-06 0.000939371298268021 0.0216933768833015 0.0974232152050718 0.290179378924673 4.21553169718243e-10 0.00183218070448482 1.12130629168504e-10 0.0349829560569159 0.00286891815447861 0.451944643178627 0.0948529201507525
"CBFB" 0.00649338235268927 0.232502807995864 0.00151283914107598 0.00142150448654903 3.02941970159715e-09 0.978439122912323 0.352464564867226 0.190384476934801 2.4917532186135e-14 0.00419361198076052 0.0160295227101953 0.000467579906556404 2.55669069049873e-20 0.34396845428046 3.5147236565596e-09
"CBX2" 0.000465709378470116 0.00726200082931976 0.27298963871021 0.88809430456041 0.037976051199628 0.215776330608447 0.262338561048849 0.815830939265885 0.0312134328200783 0.0155476593996142 0.223318830834765 0.00198187333178802 0.0023680969136758 0.666062281427521 0.0256362449216756
"CBX3" 9.96985615672676e-10 1.80641599604697e-16 1.5760624837254e-13 2.01964622729757e-07 8.71478035810553e-18 2.20808794219217e-12 0.00159370919139597 0.00180289872275902 2.63203950583562e-21 2.82537260919671e-11 1.17948222491228e-11 1.21187237491293e-06 2.5977648171145e-13 0.252314170290292 1.16034241646091e-06
"CBX5" 0.562745019235812 0.802562263833229 0.517406167429632 0.0239059121684829 0.0172169604996559 0.0718667399304328 0.272468251017244 0.574941739791743 0.639255476927268 0.0108048704779054 0.0632429985887206 0.580640161088155 0.70189108926207 0.248236558970789 0.147050800562697
"CBX7" 8.5334245986852e-07 1.48091181944415e-05 2.33933390117634e-09 2.25564008072514e-20 1.32534159154257e-11 0.79979626084656 0.00264217632013344 0.287032650296396 0.00363615397650806 7.90557717004346e-08 0.00441314774986764 6.18884987260433e-16 1.83518713799694e-12 0.675518739643983 3.25279602477639e-08
"CBX8" 0.000118621173836728 9.70144424839861e-11 1.42441337214348e-06 7.03411010276567e-09 2.64237304233001e-18 0.121708369919905 0.22109488011219 8.55578976465634e-06 2.62420798878712e-47 7.10819427841457e-17 3.23657986059465e-23 5.16082159924261e-18 1.16863261893713e-27 4.17994391399049e-09 2.94479606477326e-12
"CDK2" 0.488908150997228 0.0716723357337282 0.0120632077111673 0.292853966145934 0.0874918989903185 0.497446729459496 0.433064976867807 0.365686592705309 0.0595254349718911 0.871599738335926 0.466054267011763 0.508737909100898 0.874574889800118 0.100035261370468 0.0946772231126038
"CDK7" 1.41838843935646e-21 4.14543245328712e-52 1.07038778090901e-39 1.11058413555619e-34 3.5567540457309e-28 1.40327984534246e-17 2.59578190770492e-16 3.06177041774309e-18 4.20038688322664e-37 4.87326135282704e-21 5.79985800942525e-30 7.48205355629888e-44 8.17020929584989e-25 0.188075908584052 0.000632925806764872
"CDK8" 2.74610750524417e-08 2.49319643121041e-05 6.25346897205651e-09 0.0014434640502254 2.14610512019533e-10 4.51557340549896e-05 0.00451208528641549 1.55936118644403e-07 3.63697372453608e-09 2.32224427380429e-09 5.07677810908625e-14 3.29587773781601e-07 2.75575213508071e-10 0.0635678913925895 0.469965367641477
"CDK9" 0.0734017281488898 0.0642578297501167 0.000541303149121636 0.0211379555295743 2.68933847245607e-24 0.0166180232199787 0.136011355094208 0.0252230278692688 0.000802249634413783 0.166012313136148 0.0840589237284401 0.00449468707507898 2.56746201100024e-11 2.47453402530097e-05 0.00836914440431253
"CDX2" 0.699400713963549 0.860535492566338 0.100981340894132 3.66365327576296e-06 0.000559445858226316 0.0233048735561308 0.179771344632982 0.417904222294088 0.00351368169137669 0.0130232905255953 8.09024358012321e-07 0.0107394340351852 1.34991137595184e-07 0.0567717103192147 2.2295607161502e-05
"CEBPA" 0.872921345837726 2.8879840251429e-09 0.0193132879458765 0.874583647560708 0.158519761184004 3.54541897014749e-10 3.85749377778004e-11 3.70320758771793e-06 3.96962363014548e-07 0.00028309636531303 5.04320815811647e-08 0.422103690660544 0.00637353757938206 0.829054627099691 0.0610614291445126
"CEBPB" 9.23217823859949e-07 2.1438655371743e-05 0.176182285779258 0.00711464460348641 0.353519949678221 0.944259451296687 0.448129498790327 0.00513578159837135 0.517842178723267 0.485181480219339 1.45011391152245e-06 0.00787164631930294 0.000301013827830116 0.0391390265005523 0.435637622732427
"CENPA" 2.80988077413916e-06 0.000379395125457878 0.00293855077163722 0.0230773870989648 0.0411456317789906 0.599469837712568 0.509719871910226 0.468931000738355 0.0308715626808495 0.196748633216285 0.0132095231366579 0.178487272688226 0.287140497185478 0.0339955697190568 0.0270864026014356
"CHD1" 1.06832616431283e-12 5.06507002466346e-09 5.82537660705157e-06 0.232290155055282 3.08575525892888e-05 8.29903366232033e-05 4.97203512446521e-07 0.000392432271591862 3.21483518154129e-14 0.000896247708618803 5.24287454315615e-15 0.00357868913326542 0.0972160950815846 0.0153799276050623 6.30332880049433e-11
"CHD2" 2.14753775099038e-06 0.324547216370508 0.198172107547376 0.00108086405287005 0.0545945690753522 0.0105061513389229 8.96282500095293e-07 2.94351241905879e-05 0.422294729991141 0.0620038954897146 0.00656039541179473 0.175051175239228 0.0565062028806555 0.0631803129793111 7.46996724821129e-05
"CHD7" 0.070146369004505 0.742633155743964 0.221884503320113 0.8127170636299 0.665079897696037 0.467758609690405 0.682484903885221 0.687596590028269 0.166095191710951 0.040694699578409 0.255683541229966 0.999873547788034 0.0609654665648215 0.117993722886864 0.759052041109644
"CHD8" 4.01410971290909e-27 6.05803678232867e-22 2.7150601746549e-06 0.163561321330276 4.92886999891936e-17 2.32452549164468e-12 3.24314193802274e-08 2.71034078975841e-09 3.5093652112304e-52 3.55944457017068e-14 0.123179205726466 5.50162452323781e-10 1.28569607978209e-09 1.2196132068025e-07 3.78136558324035e-24
"CHRM2" 5.46417496847023e-05 0.654092570278501 5.06675256699562e-05 0.000773266313232545 0.0619140209821959 1 0.388373095977836 0.130927320957658 4.3628436315356e-06 0.000171340266238059 0.554740810375508 0.033107952154402 0.838190864511537 0.187320303253941 0.223703940554172
"CIITA" 4.85252998469155e-55 0.337153498163799 7.73896364572687e-28 0.00128837587199729 0.0557762254236901 1.69223828577036e-33 1.20985181061765e-20 0.752609507544954 0.0714786507633576 0.425226525973415 5.45428697615603e-22 0.0665370653514222 0.749000749222297 4.49561815824837e-28 1.51361279420699e-49
"CLOCK" 3.98422213848612e-06 0.193963618633386 0.113126698149729 0.897589360930557 0.00106140853853861 0.244614085708504 0.577684722116989 6.45078786200859e-07 2.1707987697134e-05 4.65311225190855e-08 0.414780111990307 5.35584157933693e-07 0.0115793500533944 0.437736794731457 4.38144699570113e-08
"CPSF3L" 0.00258250796298031 0.0847637002554247 0.00976986450389493 9.07063103251784e-06 2.36035774650708e-18 0.629398957472209 0.00615797776764952 0.997905347392128 1.54824395314651e-21 0.0716256038800505 0.019784118155335 0.0027170135545362 3.87324608849629e-24 0.609967607751599 0.675097075463422
"CREB1" 5.42249192851115e-14 0.614873267072374 0.211465118729039 0.0988496040131453 3.72190475789455e-06 0.286115619059916 4.05693631450942e-05 0.189766204885218 1.24331205963884e-28 0.0508771445658502 0.37628462745805 0.508700414726128 0.133839840458273 0.641263741685071 0.0652010974547424
"CREBBP" 0.786003091028721 0.575065577089852 0.0256291178388905 8.35572330310441e-07 0.00114164829859722 0.104389213539847 0.266667021125312 0.12870633276182 0.023319752855959 0.000761482146734026 6.92219939462088e-05 0.00314670693220182 0.00668819704389105 0.0107395765343772 0.247017016087703
"CTBP1" 0.0561883119366834 1.36231972176058e-05 0.021740853800269 1.40690903406801e-06 4.30499815224587e-05 0.0159734338640069 0.00063213380947322 0.0272615193832025 2.0256805538303e-16 6.79311103606205e-06 0.377523820105125 8.15204689581627e-11 4.49333688680707e-26 0.000840224962088677 0.0207103569272076
"CTBP2" 0.157027963211675 2.63445176495325e-08 0.132669836069395 0.00632426242052055 1.95000143084277e-09 0.196082262087781 0.000549664528889015 0.000106760664208992 4.89624320857112e-05 0.92397341162662 0.360086095049665 0.00803685076706043 0.0653575331477351 0.0138781279539495 4.913462769554e-05
"CTCF" 6.85113746108647e-25 3.12831157749302e-11 0.129062939927463 2.07002418132595e-08 7.37235904803329e-22 0.0305026489594924 0.000685246332073337 0.00405764713703069 2.14936985786517e-34 1.51838506911913e-08 0.000498142436609884 0.6044712201355 5.52620558860894e-29 0.726677036751911 1.07976982714242e-19
"CTCFL" 0.449666927669721 0.640247011774648 0.000104303638237795 0.000225141839043645 8.68141804226418e-05 0.675409770911031 0.147039341629614 0.107324774596128 0.921687431530872 0.916842749410939 7.92149261841681e-06 0.959566516927841 0.921003817816157 0.74542888306881 0.260483934341445
"CTNNB1" 0.0256245020093486 0.000976210206580098 0.145092384417853 0.00108712590462345 0.00201931717148736 0.00502184224667381 0.00112869400914507 0.000175264595487094 1.63674106795153e-12 4.73631746676307e-05 0.00181515909403822 0.00245673694061921 0.00141430244004304 0.040540152586552 0.0121821241484197
"CUX1" 0.00211342619011279 0.87394634459174 0.165141398471758 0.506448310616382 0.0923323385710375 0.0157854030374833 0.0794625482421792 0.925994222478075 0.378301239778065 0.888197534107784 0.0981366671856962 0.269074422340137 0.0984171180872622 0.239682112555401 0.998030024139412
"DNMT1" 0.374099823542086 0.0461296784747734 0.72477304900362 0.172347655726729 0.724530158796442 0.578948254686354 0.154000280084102 0.694712498603469 0.336210244267221 0.135528857736071 0.996801603515745 0.0372992022999533 0.73823320353439 0.0204219488381764 0.789195509640712
"DNMT3A" 1.8384325253787e-06 6.14026223364301e-07 4.57375530839928e-21 0.484073999619495 4.27311192780267e-10 0.968342806412399 0.138184401858704 0.278320928855378 6.36311235579166e-30 1.02781263775406e-10 0.00232317592229467 1.73716297180886e-08 0.908725813330685 0.598446518245554 0.01352752111527
"DYRK1A" 0.0333117733077111 0.401155662021249 0.00311481903034889 0.197589132409148 0.553966025014615 0.221568666528977 0.259502817054749 0.256399082880364 0.368046753410232 0.939147745676389 0.696717029749672 0.549554175030663 0.746912355153713 0.0163336191933495 0.128698792715569
"E2F1" 6.70074682732349e-27 1.70543339954205e-28 5.95649431426293e-21 4.04770738724354e-38 3.38636510382713e-43 0.000999326912699267 4.06587244338075e-10 3.89831941838209e-16 2.00355876529944e-51 2.18825535571693e-19 1.49679063707892e-40 1.00159689944518e-22 1.22976314245834e-38 0.000509630355763914 2.55435730752057e-11
"E2F3" 6.9814354467122e-14 7.20986363386602e-05 9.48019316030932e-26 9.06762128922388e-05 1.28738301727978e-25 0.933813633629284 0.298467668934618 0.00760590504224996 2.06933156476071e-37 3.8737442396384e-12 1.19847893470746e-06 0.000242921481951381 6.44658457954522e-14 0.331479768718632 1.05191017056264e-05
"E2F4" 0.0546352538804981 0.286311428756161 0.0245969295936578 9.39385110370227e-27 4.09644538230263e-52 0.97724547606832 0.305603455413595 5.53241326895437e-10 2.28934473434594e-19 1.09486404730201e-07 4.13008521376254e-21 0.27751522365805 1.5845877714207e-16 0.00156383514428613 5.79376349462824e-21
"E2F6" 3.8007715779896e-23 2.50322580043693e-41 2.59211686617216e-42 1.82186674586711e-12 5.22925279922123e-33 0.138874364142626 4.61529587688994e-10 1.82676780042429e-07 2.30365120264951e-25 2.96612547049446e-22 3.67293408737456e-49 0.530338918875532 1.26610640928247e-37 1.42738770957598e-13 4.88269597757989e-13
"E2F7" 8.74927808399996e-15 3.87030215631738e-11 2.35462928275142e-08 1.30577868669149e-15 0.00363913332461765 2.24626416757983e-06 2.47801171899441e-08 1.95552386875944e-05 0.00685321030616616 0.207423610028946 6.71316323040508e-13 0.983243693521309 2.76141199914141e-13 0.0111559709750753 0.554533567995898
"EBF1" 0.00176070701334791 0.246759421712008 0.114893559140627 0.00114136266849442 0.160013079756898 0.149734821471763 0.43424184262039 0.00646115963068408 9.65650081884689e-07 0.00604819307587498 0.233237181733246 0.000490259590238815 0.0124719906760565 0.00497437575962853 0.24304968783227
"EED" 0.373498300397196 0.097644805653963 0.332217735011093 0.028887478024448 0.0922004765456775 0.607363283438609 0.582383952217356 0.462215162172047 2.53186712880444e-05 0.271150102429217 0.186713562738187 0.721832399581628 0.191243380672247 0.0571564616497041 0.355339832150908
"EGR1" 0.372794890704873 0.700949353905878 0.269527042047179 0.00185118356424068 0.00117990073801299 0.00528112987297702 0.0118781622913771 0.573658866151279 0.59895181753656 0.00934763393350832 0.0381757943310315 0.0703378037839358 0.0646581992396098 8.74941235024766e-05 0.0538254973689023
"EGR2" 0.0010942215843679 0.667799037181926 0.882771011994685 0.550753519606118 0.0945295331928933 0.0424140613992649 0.571686488253642 0.182734699994952 0.00223425041907467 0.713724855173528 0.212195574289542 0.0985926253371874 0.483579496194584 0.136865386664058 0.027934448528387
"EHF" 0.00259364854865485 0.604626303392001 0.772533213712281 0.778998531860692 0.607275038411152 0.29949713886459 0.946598693779338 0.184271054873373 0.000757730553554867 0.780028358978651 0.250524240196765 0.263747279482635 0.00266825298795404 0.289682931163074 0.12245210141292
"EHMT2" 5.94601094402309e-06 0.940423916449959 0.000385704064156714 0.000279244537965722 4.65965059338565e-07 0.93617318663642 0.631501617527263 4.13145224035528e-08 3.51770101955193e-09 0.371990145762641 2.02327136885243e-05 0.404571231713215 0.000360664497912903 0.139508216049433 0.368908085471514
"ELF1" 0.0531255972838448 0.356759856355608 7.68397966111211e-06 0.0620629096090798 0.902546741936975 0.011477388072781 0.134385469517557 0.900587215195141 0.330607982942007 0.00959664121693293 6.72726550018755e-05 0.0442225991272104 0.000750544468233036 0.256412890113638 0.375546115128902
"ELF5" 0.116080691652905 0.165872746157077 0.0619393676592209 0.0350317755835356 0.895792505864256 0.671788596499101 0.366374231513138 0.615429108445523 0.920376434174556 0.812670118881254 0.373990572206603 0.130944094256715 0.427779280446884 0.48626897582722 0.0897509423771105
"ELK1" 0.0197563156129889 3.09144265654301e-13 2.55931883644031e-15 0.000127388541926408 0.0012404648968098 0.0886191825615582 0.73597672332971 0.171414980984935 7.48904415707686e-12 0.328960152882504 6.53351567587114e-07 0.11577361657211 0.0167975992808795 0.671887279777422 0.892016750839824
"ELK4" 0.000777360571593889 0.0594235971988686 0.589581569048023 0.439997350554509 0.30537629676039 0.890021520463269 0.959091385821045 0.354237448238342 1.58655597330376e-06 0.18245857833603 4.69858917809121e-05 0.865462793404007 0.975670344711292 0.28155401147536 0.746607099417099
"ELL2" 0.976925792848987 0.179481782589156 0.405545954655921 0.748383634299295 0.656870118073991 0.408596555761225 0.16625905460397 0.445587674694604 1.17927155454576e-05 0.386496538359946 0.00406676483964602 0.971065455858554 0.318885968250713 0.881489499292322 0.713278926401005
"EMX1" 0.937172413061154 0.121774087913715 0.160776313514637 0.9395309885388 0.194854463090775 0.06996528336682 0.0552547461460683 0.00534361512598719 1.73947105678665e-05 0.389321756003408 0.0915279738606516 0.607212455032518 2.09441703754949e-07 9.68650081015967e-05 0.390661693455225
"EOMES" 0.585858486148272 0.0858314725377465 0.531964861758057 0.848450522826918 0.685550796823941 0.893743821176675 0.973623670379566 0.680928685370896 0.828689697392937 0.183889614701696 0.078840301078759 0.683968195613042 0.407047206017637 0.989387441546725 0.151803109196965
"EP300" 2.3784944560185e-05 0.00387378727567154 0.0105402547524459 5.18229868247457e-06 3.72988978080249e-10 0.0556180504196538 0.000816847358474241 0.00271398390067808 1.4299606321214e-37 0.000553049036234535 8.46503672971624e-10 0.000465947249116928 0.684849620238536 0.000779245031050333 0.0723537119552558
"EP400" 4.54251520137594e-09 0.825261064381494 0.00224729199896386 0.782568759389172 0.000731036546094767 3.00333596563545e-06 0.673432984781334 0.577704268566588 4.48324095779809e-22 0.370622315510218 0.0706962343865935 0.859502290027601 0.476456795429593 0.443704727968933 0.00307327642103698
"EPAS1" 0.160465008301877 0.209888875109216 0.00920536707379374 0.252897941480188 0.574942024877512 0.541915502113437 0.00883561312139958 0.157671780282537 0.240240448429655 0.766976261561652 0.00593774110641616 0.0117053936601359 0.287175948029412 0.242658988989022 0.268792075937722
"EPO" 0.377668323219083 0.0234818160260992 0.0354399300725033 0.084189934688094 0.000866975824276032 0.502579179246591 0.819899516377303 0.373935460940229 0.321256488869195 0.0486341069018599 0.293837827806519 0.675279123298617 0.663826662635484 0.315328847893894 0.00802471763127421
"ERCC6" 0.0844661217882894 0.146305551091426 0.412999524227068 0.0955051022614778 2.91560602756815e-06 0.338438630709035 0.874257902111692 0.622278527192849 3.4830033011958e-08 0.0467043865832968 0.487900988303743 0.973252518521366 0.255453583097744 0.195955584045513 0.967903205449928
"ERG" 0.99724168985531 0.360979244540918 0.0608540868858442 0.138751011958648 0.0389905552363056 0.293930586567484 0.1442479753995 0.116623729777535 1.01487467379174e-05 0.249845324151019 0.818525525399956 0.0172881119181428 0.242601937985836 4.43005249610178e-05 2.51769738815045e-08
"ESR1" 0.0430309302937775 1.8634983336828e-26 0.0117204394873299 0.0417935675504674 0.000404810601982768 0.00109344311421186 0.239025345522046 0.21167314903579 0.014247142649193 0.0411101314361062 0.000132274872612064 0.142680818656234 0.0793983796797822 0.0021960353972242 0.00490009669354731
"ESRRA" 4.06673135338744e-10 0.000156659448294721 1.13633460330057e-07 4.78218913802298e-15 1.12700618263374e-13 9.45550041897249e-06 8.91046138800399e-09 2.40822981448436e-23 4.51293239046086e-08 1.308866395129e-12 2.61622648124563e-10 5.41459272839107e-10 4.8380925881454e-07 1.81792215637558e-11 1.91412307185619e-11
"ETS1" 0.0272040654394717 1.30418904700773e-07 0.000122638635517136 0.000428959152619336 0.0565756635055434 1.18781410110139e-07 0.0715872185625565 0.000359107346166669 0.00359325524767945 2.71355978288076e-05 0.00401131134612914 0.0155967721563152 0.000716384653713137 4.71457511044861e-05 0.543379496936017
"ETV1" 0.00156950591782684 3.27812537630192e-07 0.00147177541929035 0.0861411531742484 0.0290369109856923 0.807197009326399 0.107280071386626 0.729788357083107 4.85942379917972e-12 0.088091746369115 0.0770189688091522 0.00126937045912947 0.482451905019608 0.114267086944052 0.0535797954222225
"EZH1" 0.153069596375579 0.665767299070637 0.579684247658958 0.0872582338015533 0.18249195926094 4.07754026648764e-05 0.0177700801497107 1.07756453113128e-05 3.25309175677595e-12 0.00133442886982499 0.607138628574089 0.000431875416663145 0.109952754010115 0.258567447623757 0.358298319437605
"EZH2" 6.78119246128558e-12 1.36752540618163e-06 1.56502129589046e-11 0.00181098681388436 6.93604583719379e-19 0.000557335417367966 0.0691763076518855 4.02047009447632e-05 2.25574168236669e-37 8.95044667442836e-10 6.83632259942623e-14 4.14082640850504e-06 7.00551536789737e-10 0.751516481941972 3.94126354160217e-18
"FLI1" 4.30539104897259e-10 2.42548252785793e-07 4.97002430051006e-13 4.62701771774595e-10 9.42539154292015e-13 4.33654825908829e-20 0.0126639858238757 6.31701466601921e-16 4.37041873620465e-12 1.86475303862244e-09 2.77379142471175e-08 6.10479712833687e-10 0.0010110602090739 7.84418942942431e-05 1.33778505671154e-15
"FOSL1" 0.594181898210362 0.113967959397496 0.0966336038989924 0.0146304480029184 0.00160007491737843 0.0104068490421818 0.131992614950812 0.408233477307139 0.244822261986281 0.0207458962418359 0.00392377445956107 0.0646149213395861 5.63033746267381e-06 0.703027149694426 6.80631948653072e-05
"FOSL2" 0.199360536334129 1.10348933063729e-10 2.75315304563989e-16 1.07235027670472e-07 1.10845810093371e-06 0.00757252689077893 0.000126116095476096 2.29980577343324e-06 2.14954478454526e-14 1.82150361541899e-10 3.74521628167762e-08 1.64791592543303e-19 5.53654320721561e-07 5.04917052701657e-19 4.14814601877113e-08
"FOS" 1.97398209629661e-05 9.38184486409597e-09 1.84599497095614e-06 0.0020602444008399 0.923349101994337 0.00108448816623089 0.0856511641863522 0.00246266189523418 0.00514613197329496 0.0293885874212028 1.44956838568894e-06 0.0268342536153724 7.67203289799257e-10 0.0159053108523008 0.359457381690745
