"BLCA" "BRCA_1" "BRCA_2" "COAD_READ" "HNSC" "KICH" "KIRC" "KIRP" "LIHC" "LUAD" "LUSC" "PRAD" "STES" "THCA" "UCEC"
"ADNP" 3.01607502478292 3.32519409288078 3.19023839276102 2.99139556473736 2.61239240285504 2.67993991581592 2.68449976215378 2.55658564427468 2.05101648322756 2.77681918199506 3.00707505557595 2.87166583881144 2.9712984304332 2.73623159990565 2.87517716000607
"AEBP2" 1.76019273223597 1.52182043086449 1.62327723756515 1.47297925404923 1.80556069080348 1.65574381616213 1.76688230737049 1.63126175261196 0.591443311311615 1.71009873879767 2.22735606642385 1.55381512166593 1.80732285967571 1.97219539213745 1.42510743930324
"AFF1" 1.84844655777682 2.22519057885899 1.60341975736928 1.69758525196505 1.65068724652899 2.55918833518537 2.90169262209397 2.49346901075259 1.2055384464336 2.04967833440494 1.70564329647011 2.38118918913246 2.10293463864745 3.23741577808495 1.7427313603046
"AFF4" 1.87313316502572 2.70984030456459 2.13033291026107 1.77332238349887 2.06248446272869 2.29147968225938 2.62061010550865 2.26726431741767 1.892062393616 2.28188075047007 1.9731820337193 2.41067548427797 2.41060744677413 2.44554422951402 1.87512945939331
"AGO1" 1.13189058950671 1.34754241049016 1.5105901971085 1.01096822623628 1.03008342934737 0.346522601959189 1.29467443586856 1.02032209178905 0.454549928303407 1.26546491555749 1.37393345473913 1.46219269310188 1.5158431848379 1.04904443806589 1.25508635411338
"AGO2" 1.18391630126676 1.21996020741 1.86304162224438 1.67597445232231 1.5553576996268 0.626903264924501 1.08433387433755 0.649625423746562 0.494537607430218 1.31320658566445 1.77043815694245 0.963614918732504 1.97404380262224 1.01974925010568 1.23276087323282
"AHR" 3.57997744759442 2.51906126161795 2.39390162183455 2.37474029661243 2.89048568936982 1.68721721104713 2.72284726061011 2.69600026119019 2.17757662479479 3.34608539943226 3.1932371089903 1.48829228379448 3.38063065678847 3.13385549005335 2.15533245318659
"APOBEC3B" 1.89448967041652 1.0003925519513 1.96867392596254 1.32619003010834 2.02690633551146 0.863866555214264 0.187232490341917 0.110161023128638 0.204134073410388 1.02722632077328 2.33378834421349 -0.348053966673077 1.3271173491713 0.134387277041004 1.32610817836286
"AR" -0.0734745582951623 2.72121876684591 0.188059756046938 -1.65285122948406 -1.59332462175873 -0.165955393148533 1.20963992047518 1.63836816883993 1.34845602106655 -0.52381041773939 -1.01579005560087 2.73713631135944 -1.18073753911548 -0.689695744999672 0.997233167665467
"ARID1A" 2.56949979098701 2.83164024595518 2.64532566583355 2.39489061159892 2.40737132263549 1.95759395292417 2.19591176806708 1.98245377604183 1.63436778952257 2.68631080560402 2.65221657050958 2.641910840228 2.9377860572247 2.62226007162518 2.59473034609106
"ARID2" 1.02207510910394 1.56805059939209 1.05520368923504 0.849408862556464 0.82658158281591 0.964223332329885 1.15819048454483 0.852703166836439 0.0696926978169189 0.910286603302682 1.23719725681977 1.09801237455435 1.46424773939862 0.999035446849955 1.1210803397354
"ARID3A" 0.783737263876447 0.552666556165079 0.344586238110711 1.75485853465366 0.575665226823224 0.953335362891051 0.264879549259561 -0.104402092891009 0.253130549946686 0.887356075618329 0.962389497591815 0.331024519176033 1.18388424668417 0.179022197171457 0.863488464395111
"ARID5B" 1.84576800582418 2.09287696086221 2.06465790179792 1.77705383001716 1.83631453116315 0.291491913106556 2.49441589634092 1.83208283760603 0.450927958372457 1.99242575157686 2.18205820510959 2.64276990999584 2.22968360948118 1.19683861647867 2.00177617982328
"ARNT" 2.05190587020188 2.48769405125167 2.4229158109303 1.91156088300412 1.90125923985212 1.18150109889803 2.29083068754075 2.03605570946159 2.26280707547475 2.43177657948084 2.26579800357831 1.93741191111227 2.1348307689918 2.10439441645501 2.0687700359911
"ARNT2" -0.0183071464814617 1.93915585414406 1.00641137333799 -0.486406754919339 -0.585129016117831 2.80894195834722 1.14891595226333 1.53027848163335 -1.06649442275754 0.746145497564305 0.85440392708776 1.27796767949485 0.353349813628602 1.64430506890961 1.69616019381511
"ARNTL" -0.0691454415607299 0.752163771644879 0.602571110087433 0.255879693279469 0.68431564665314 0.28543175824894 0.841715210726167 0.576849560067929 0.422522126083337 0.843176138877763 0.904426901202412 -0.0247527859874957 0.578279205736402 2.50002943616399 0.129214237247815
"ARRB1" 1.12706924775588 1.98390250821394 1.38385440011285 1.78364758152472 0.377638023226201 0.160785969213659 1.53980707417307 0.831296877925132 0.590263406111603 2.23178952972037 0.585051875053034 1.76394752114177 1.83788543461642 0.651660185583044 0.475088666152464
"ASCL1" -1.97764919902645 -1.04140032563653 -2.04569067172344 -2.15638979831522 -2.09382701384622 -1.48140705372995 -2.15503001707432 -2.18264253110978 -1.3872514074623 -0.774146203928231 -1.45945703931814 -1.27711165205767 -1.54689731880396 -2.09720338874158 -1.69828275895643
"ASCL2" 0.738741139690799 0.247582272395248 0.419076203860368 3.89155320883695 0.719674813929678 -1.48816936409626 -0.583038617184765 -0.990151469043975 -1.21071269090026 0.07189995832047 0.674371708510559 -0.286961944779961 1.85600065979815 -0.833441919937115 1.5703821815018
"ASH1L" 1.49334368585384 2.34941469471689 2.07978129477353 1.43393785892433 1.40169461118015 1.1823814285731 1.7732073124622 1.37797373461513 0.957345928738775 1.90182864051205 1.81253812970959 1.88050438718763 2.1712046470249 1.87914658381951 1.38041596475818
"ASH2L" 2.08968342130486 2.55289036806651 2.28271971124811 2.00943527819115 1.94623143004103 1.80891854085905 2.02806361002671 1.92380918482383 1.28311220422398 2.02547274131821 2.40871758480191 2.00162314309076 2.0039691786145 2.03426981792398 2.00802381175225
"ASXL1" 2.06624819567191 2.11169474467434 2.21885970874032 2.22849847744658 1.80810619352552 2.36254907555204 2.15645082163529 1.81485524976016 1.63932860085533 2.1311454146015 2.05270683683895 1.87604672523078 2.27877952240685 1.92543210331549 2.12383071364546
"ATF1" 1.83876886334823 2.07800353595453 1.90030347662645 2.17006351376619 1.88894195016036 1.87485471673369 1.9687995595913 1.64357175286846 1.45425784999387 2.18334081482896 2.29505839684372 1.96290015578068 2.23394439138062 2.36316790918905 1.70340803521532
"ATF2" 1.74530567615739 2.29242538367014 2.13961313171236 1.85660587442811 1.69371332362451 1.71615507302025 2.41320309761085 2.17247896161782 1.74397367214597 2.2733698948209 2.16749236798563 2.13770588828064 2.21631712356794 2.24065283406919 2.086003410542
"ATF3" 2.39242125732133 1.78686284643285 2.13173909484253 2.28244258786083 2.20408153490123 2.34576490406565 2.52765637543542 1.79061012698422 1.87712036606908 2.26102116010433 2.46883813797953 2.59518778403619 2.14566644020293 2.82424756280003 1.93191127376676
"ATF4" 4.7402347211404 4.58656297798005 4.95093898615948 4.79393885018794 4.60031094005097 4.72191361225313 4.58895987135832 4.21727698578396 4.51841956342704 4.61092511523773 4.90262145712882 4.98888338316242 4.40568665514979 4.39374031114466 4.77972123294381
"ATF7IP" 1.75271616394636 2.14953432216053 2.16989547160711 1.60755642290499 1.87898791506575 1.74393652949273 2.05879208799743 1.8317992164913 0.929955038897241 1.91724786013095 2.01179545824888 1.55715840344532 2.05629774436256 2.26633399425271 1.79487689287676
"ATOH1" -2.22831459357312 -2.29198068559214 -2.26252936395609 1.18230946324353 -2.24144548001235 -2.28795331896624 -2.28536144302994 -2.28471617083383 -2.24176364801807 -2.17829963729122 -2.22309172430552 -1.23979256780761 -0.679036547225257 -2.28911748530848 -2.15655014977372
"AUTS2" 0.812269560834912 2.10831405862324 2.09195015384915 1.82986477828285 1.30423595821881 1.19276947280929 1.63450629870652 0.551887383648711 0.459397963909098 1.59499767015431 1.90629706031365 1.17212786726401 1.00202123970605 1.11378649427537 1.38024986224514
"BACH1" 1.52218124384281 1.52421699304111 1.71374219312291 1.54928908918089 2.13256504155606 1.4846386261548 2.04790543338529 1.63858506556287 1.28169152420898 1.83870764507885 1.99705539379793 1.86099855192179 1.82077580605585 1.68311689698186 1.10752063535901
"BACH2" -1.60051510390217 -0.67006773571956 -0.364232148609236 -1.58116324878241 -0.779086778987716 -1.04021547620827 -1.27206650003353 -1.3969881678119 -1.22700492247219 -0.741482179063666 -0.0987122374514896 -0.924561499255929 -0.784265050322028 -0.43201220387249 -1.03631476815621
"BAHD1" 2.02892375764345 2.09776109049869 1.9095470114887 1.92529280671035 1.76600911316834 2.75389910854705 1.85648390844859 1.99773025377342 1.47212254374687 2.08156566639397 2.05717780484198 1.90170314359368 2.02426976310948 2.75838159219024 1.93440363610677
"BANF1" 4.54177863453014 4.23954517571135 4.44587858158771 4.24876057460339 4.30047987306106 4.19708067769561 3.67140889696288 4.21715084849659 4.04422933922626 4.17954383329748 4.42487364585854 4.27076100175985 4.11729018014625 4.40142008597536 4.50666159028118
"BANP" 0.692248308833688 0.534442866517405 0.77201866229304 0.699314515491703 0.320482951090932 0.0959774144897394 0.201561503290065 0.343880838130409 0.334009428934958 0.518110640599765 0.544466370754022 0.429655497009324 0.521223168990031 0.311986272676239 0.832630874179667
"BARX1" -0.512264978354899 -1.49564751614685 -0.356673018839406 -1.54215790340222 0.409214494005548 -2.14199680972764 -1.9345592762836 -2.1680787829761 -1.6364905809523 0.0666932144500468 0.774892850926863 -1.61941959642822 1.45429990016876 -1.4871358378654 -0.698431833000736
"BARX2" -0.204959119327896 1.24517383438267 1.85929064640488 0.089677250203209 1.85551276323743 1.151188571246 2.47409635184244 0.217797833660225 -2.10964237197403 0.49513251297059 0.409051963167734 0.764920467665296 0.800561643673677 -1.87954786509228 -0.921796267010614
"BATF" 3.17785296590801 2.47989025215076 1.93215967563522 1.3184643336828 1.28566220402082 -0.448315367625075 1.04990106208185 0.333244354901577 0.789167121013508 2.47802942656899 1.4680927412091 0.622082101519681 1.99301255288331 0.647760969254348 1.26541465254438
"BATF3" -0.820382212865439 -0.600429356345563 -0.0357049893326997 -0.380717471290872 -0.321837895703496 -1.39177481310378 0.339379982153932 -0.706883562207908 -0.905069183126014 0.416062991409126 -0.165427341101595 -0.86702117559783 -0.380954568036484 -0.16807750383756 -0.504872318111833
"BCAT1" 0.247986076317964 0.367666721763662 0.800639314825483 -0.326735340907481 0.588178371670978 0.673919244162865 0.547425028530571 -0.460659392831772 -0.813576622695561 1.59791829620331 1.26789855883677 -0.876599427948608 0.524461244578576 0.555548210670539 2.0748060826683
"BCL11A" -0.301021921390908 -1.17332541092957 1.05280157678889 0.817638630155917 0.720015183354382 -2.04825190159848 -0.727555031115335 -0.572019913105552 -1.7078371828436 -0.098312821250611 1.52268080849571 -0.414769321106634 0.369624520670078 -0.678565738087994 0.448033667811077
"BCL11B" -0.0213469586772963 -0.624734028421925 0.250801361148407 0.540638302048125 1.27368576029405 -1.60797116086808 -0.0480078730397159 -0.985870604427532 -1.35793138526375 -0.18579452561988 0.869099827485588 -1.04304635109081 0.833082971276504 -0.897363064404871 -1.08281664367076
"BCL3" 3.06537153415234 2.98622848721065 2.88441669317629 3.10826553639702 3.01806727117149 1.52333322475245 2.4861153978753 2.50053201174379 2.75378226809044 3.18165023490088 3.18408862461932 2.72858586993257 3.72780830099694 2.36766555092789 3.32187320309306
"BCL6" 2.64906189263855 2.24686389348098 2.18839892020715 0.955407964183387 2.15785064966143 1.29826219118913 2.52029071119164 2.13459489877671 1.78266184304895 2.54447651981558 2.85642326396562 1.95211998169728 1.97545228266706 1.94753094998577 1.90623449482326
"BCLAF1" 2.41495365335175 2.80072419540129 2.70557893646623 2.38571598936105 2.17681050951578 1.88726366438042 2.35431384223414 2.19024510072989 1.64047079757694 2.43713283227883 2.479508135641 2.60382026110891 2.76949455892326 2.61441538042902 2.42384645094146
"BCOR" 1.40699270242634 1.97180424415554 1.6050262188611 1.73693202812051 1.16473665552501 1.44936817499225 1.50321570087129 1.15285644204989 0.89967657654924 1.76415938887678 1.55834803755819 2.10891136275899 1.98283989423995 1.70433340799112 1.64035934114073
"BHLHE40" 4.03370673828862 4.86188786501446 3.84800001173811 3.79783155982048 4.28183093051527 4.53792830620348 4.39548128977953 4.05459304005211 3.30132386896807 4.28291266993754 4.25538437434879 3.39814236193625 3.80773326894373 4.54500676949631 3.79156311783979
"BIRA" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"BMI1" 2.32781692336697 2.92777144932265 2.45623700199564 1.96727643626976 1.64636134209758 2.06249574650062 2.33909487650074 1.91026714594605 2.13575958578 2.31830901460484 2.24176597646213 2.40911991884746 2.46979641325258 2.2998223964672 2.1130191585092
"BPTF" 1.58293634774111 2.05716926919466 1.8378979320674 1.37123191773723 1.32792022897896 1.02424587640248 1.5803101800119 1.52974637467437 0.710053083738295 1.704015804929 1.67972923034906 1.62570912046291 2.09751916139152 1.59966377715112 1.46524038817112
"BRCA1" 0.906026146320947 0.78957581384854 0.622433194324246 1.15117925506787 0.842731253059808 -1.0973511594913 -0.136760082670674 -0.0730805862050657 -0.189765372376908 0.484801694433351 1.07286111804051 -0.304004985917434 1.21082461539495 -0.059799238651819 0.563482705305759
"BRD1" 2.09662944532761 1.98616810781501 2.08013081853831 2.06800118910936 1.94188735175711 1.69357421492384 1.68684092444657 1.74516699251934 1.13315525837096 2.05522809209613 2.26524393451628 2.08735887693632 2.13209258345211 1.93883021112548 2.10144838634911
"BRD2" 3.49465514722582 3.6701115286674 3.60826627109198 3.38102931245363 3.34046220393943 3.19230994392179 3.33877712027018 3.08998726380537 2.99114826669014 3.50769268775517 3.6369272769352 3.74597413047865 3.38950476706744 3.5674293184571 3.43556270051385
"BRD3" 1.4281642058167 2.05549336235715 1.733200482616 1.72395020495363 1.4644320538251 1.54487358565612 1.25726963337607 1.52048522069912 0.826572292142625 1.58474764406524 1.67626090469211 2.05699366993009 1.94573150580608 1.61699340442882 1.7387217743964
"BRD4" 2.31317667790918 2.19331924903784 2.37841896603899 2.25615273912172 2.26662964847888 2.31132883868819 1.97249717391352 1.98782613166263 1.76407622559786 2.10966327824484 2.5349857348091 2.07451389509573 2.61510545539457 1.95284270440456 2.56411499249635
"BRD7" 2.06893493518043 1.93007866480064 2.13946426335736 2.0404529226917 1.96957956489425 2.19717482208067 1.77491692380715 1.9255028709097 1.32411742001606 1.96307923151247 2.06769555226703 1.86764604563999 2.02113447467142 2.1067241422649 1.96821274151897
"BRD9" 1.70810450301007 1.32476672613396 1.42038342801251 1.49018398742065 1.38146229752707 1.17774764525176 1.20465063819745 1.27222373774341 0.797325933246037 1.68888447394535 1.87239983445645 1.2066827707202 1.32998735173042 1.30844104829468 1.64274309053581
"BRDU" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"BRPF3" 1.6394311531272 2.3912701908635 2.19387969958659 2.16119013794517 1.33200715688311 2.04643340048383 2.03384793548528 1.69871290035502 1.73091153822377 2.37293982941795 1.89519421903073 2.25486743328277 2.34987930092197 2.26114012158419 1.73022405555758
"BTAF1" 1.5285835754108 1.66444798323909 1.59529871916899 1.44148333749538 1.39270021513407 1.20643904573077 1.7138585755704 1.3948150212856 0.962619156763744 1.62641260529726 1.65557262068821 1.49325655848277 1.84693045566624 1.53176664706299 1.29367121934449
"C11orf30" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"C17orf49" -0.174284398856473 -0.371496623082457 -0.294965789736312 -0.691769806621406 -0.525723592662823 -1.20734508537503 -0.401408613673671 -0.485773488851369 -0.681228854792214 -0.265280861625402 -0.329797618725344 -0.27780409121602 -0.548126983974118 -0.152188733730882 -0.406194782552999
"CAMTA2" 2.01894704487587 2.19082049168908 1.89598254857544 1.89282450601409 1.86667549085018 2.02214215023403 2.1589187953595 2.43856146859739 1.20858311633067 2.12225978492167 1.8771552362319 2.3555370926281 2.22610806341381 2.33496748712489 1.85835414386803
"CASP8AP2" 0.652095460642053 1.0793666144372 1.32959828700602 0.664832990034581 0.588129274861371 0.0985117145089192 0.618895103590542 0.235909516113622 -0.136979410563552 0.72713553373074 1.02585626617081 0.514846431133361 1.17698924294401 0.740509716564047 0.58557940714349
"CBFA2T2" 1.47177947462861 1.6011037861888 1.49063472223246 1.73034006617039 1.01346138603861 1.50449870269898 1.11724839444282 1.4637637098775 0.598939856485473 1.37099885782821 1.68659126442757 2.24055655499098 1.70841681956987 1.3459065978651 1.61543886641825
"CBFB" 2.75450131293249 2.4124730924841 2.82373570166624 2.75428465993616 2.611720490118 1.88779669170764 2.48922428977757 2.27345282134911 1.42702325656312 2.68550625601203 2.79031184137763 2.18165330117297 2.6350351746599 2.66696669610135 2.56166838587783
"CBX1" 3.24791003936921 3.50859075076062 3.58505833437227 2.89087176437926 3.04185835727747 2.43335892724033 2.88215303195814 3.0319880399973 2.19258038436418 3.17846705361458 3.57014225359221 3.05136084887994 2.56595253868803 3.00720572731743 3.32194981663034
"CBX2" 1.03225201276127 0.567524128171763 2.07271885655931 0.923402837815356 1.09863666806245 -1.04721618498691 -0.529233922149314 -1.29369995966597 -0.376869973335944 0.736429322253648 1.69919954810943 -0.187285813266226 0.473821361515542 -0.247250627661887 1.70417076216909
"CBX3" 3.83910119682526 3.96100999927973 4.0689425364013 3.89809820900629 3.55750259301226 3.03601173968168 3.36136835498662 3.48861960078303 2.95353458651351 3.77112980208352 3.7886212551604 3.25738074649661 3.4912728710627 3.41454939253237 3.65396767655356
"CBX4" 2.54128480975137 2.98803490024765 2.47619222900932 2.68865397945067 2.39272761980572 1.88706591777592 1.79514985315418 1.95902484507351 2.39650814576544 2.72871183469371 2.56571660083576 2.78780245867497 2.79650871797625 2.46285430372612 2.37921422381584
"CBX5" 1.46959248065412 2.40331326661564 2.31463311619533 1.90273296636728 1.75653665026916 2.05516958492959 2.36926117872617 2.58211932238945 1.09763422882118 2.02872985092918 1.97260524771401 2.01484473535359 2.15206920913056 2.32485801803044 2.28088288827184
"CBX6" 1.81439854624966 2.01441790409533 1.88930340998045 1.10744370119099 1.66470607236956 2.2031273936009 2.4020888379786 2.95931811184704 0.663457787704795 1.94066098181301 2.55505300123125 2.33527204698838 1.73712905592989 2.93831267822988 1.72987822279782
"CBX8" 1.21936274186372 1.05804920551936 0.952288370796893 1.40650267869382 0.571706248236347 0.382726771266861 0.356869254370037 0.805198566231022 0.901789415700114 1.14439540262171 1.03975445711861 1.04463294848941 0.562938973099337 0.545458401674471 1.29714091003052
"CCDC101" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"CCND2" 1.01128699353708 1.48407827902078 1.53373953520036 3.07994188753865 2.0242890272175 0.66654539647647 2.25668931553418 2.82239788357434 -0.0546861800730445 1.5764387501579 2.11602484063663 1.6335380454852 2.4676478145624 3.91459673264112 1.27293082074431
"CCNT2" 1.66174036413506 1.58221535798668 1.39374410639982 1.26963957839691 1.07603633829893 1.11976476062476 1.47852451100272 1.3107139443397 0.783398570561026 1.6309394290022 1.57025170427291 1.3603695218471 1.52798168606823 1.5126033442762 1.41926797741522
"CD59" 3.80056498194502 4.34148475074231 4.64884203236329 3.65159321090086 4.5180115770079 5.2901907494529 4.57626216455986 4.57931435164544 3.7213202302034 4.28831339682041 4.06626814576825 3.83631814268985 3.76917000270373 4.69618668595747 3.85964209517353
"CD74" 5.38297928828286 6.14193869358371 6.39682499309139 5.55633773109684 5.7315716473562 5.87605365457374 7.13147149198905 6.22165126418655 5.56488616937046 6.93953728281355 5.93409748175369 5.45851227846415 6.40923880294393 6.58883292387505 6.42674955861735
"CDC5L" 2.13666477368512 2.37633856984754 2.60472686672619 2.20752325592663 2.12201333289408 1.57271434290772 2.03793399013341 1.80755174830675 1.97514457120021 2.23401010616656 2.28613974452305 2.1660900516293 2.27303562307819 2.10470453803397 2.01468872758236
"CDCA2" 0.692121416063504 0.327592037159479 1.57127168363624 0.964932443719944 1.14190278457921 -1.15370874145105 1.62169972751699 -1.20620754155044 -0.670457515605423 0.18643976039632 1.13559371153174 -1.13033671598717 1.252475360748 -1.29531205328268 0.885115438677942
"CDK12" 1.56163031785093 1.9278197986091 1.8044381169545 1.74811575388907 1.65254455092424 0.907793713678936 1.388329978004 1.29475448316852 1.00021947985977 1.71853572178699 1.77056419732129 1.46471081486935 2.05566309043161 1.27643373258456 1.2726758601651
"CDK2" 2.72519846693696 2.26826515262308 2.45404026115382 2.38221147514991 2.22187839364949 1.24986006732633 1.7820466995073 1.78007539777815 1.43206745624696 2.10358404482921 2.57678842653484 1.80634547206015 2.0912864782124 1.63606053378333 2.22861466950846
"CDK6" 0.0723667539943834 0.438809820833124 1.47553706790891 1.61359902493196 2.15315605768325 0.726967763882116 1.31101198130963 1.37779599596849 0.528019027417287 0.622121962691674 1.75694774554558 0.937871900876033 2.07237161717779 0.0749431596199804 0.182002046057334
"CDK7" 2.28372515967513 2.55026270617044 2.25256225851747 2.49033489272906 2.4154828359882 1.78911257824471 2.3242463228534 2.23890296610489 1.70368683421968 2.30135748630191 2.1679591528657 2.25973471471029 2.0768533629892 2.46612880015087 2.47319241834789
"CDK8" 1.80497496722359 1.32288959488854 1.82737984907212 2.46468932006593 1.56161560958366 1.18650169418708 1.09357999257012 1.40066612176617 1.08618719602174 1.42480249544816 1.7171764037008 1.37105313421613 1.89878923164706 1.02904158790258 1.52352975804661
"CDK9" 2.9088240751948 2.97676560055394 2.82758134055185 2.85405024004592 3.16913436501666 2.87384926379742 2.78187759945353 2.97979374036697 2.7421205411782 3.06692730905771 3.01204477175997 2.97270689552164 2.716503371086 3.21113682569924 3.31451194658371
"CDX2" -0.984043532725229 -2.26606540039666 -2.03771317251515 4.00887079013045 -1.89862493482545 -2.18688319759236 -2.26818990793995 -2.23447781260336 -2.0651610008284 -1.75416879656404 -1.63442138746394 -1.21888481831591 1.38199043690397 -2.25238852703851 -1.346474325304
"CEBPA" 2.87571184039389 1.68343647981083 1.56514468271808 2.80432723427751 1.94257384652008 0.100313382458266 1.21827866572317 1.55055192281174 4.01043387830134 1.91996702067179 2.26664207646959 2.07438927762206 2.17613237165687 1.00933024396384 0.377179394079079
"CEBPB" 3.45174285641203 2.93965547231516 3.92034365414462 3.46041165937779 3.77658811736987 2.38154812342556 2.9367934055526 2.83519522064817 3.91195374463959 3.7289267990347 3.3084552435504 2.69250606843369 4.07653444530632 3.37669269389855 3.52245179339212
"CEBPD" 3.4215955866185 2.55070072068073 2.62740382024338 2.88701718319775 3.21674664496096 2.73522768751107 3.77367519294254 3.63656795948904 3.6101035662028 3.76158902805795 3.37480401459708 3.35878348020166 3.90765683940259 3.48774991222208 3.05911524802818
"CEBPG" 2.76692219037323 2.4627547238481 2.90718732751676 3.12184444988829 2.71535023627324 2.39519301853652 2.1892102697054 2.09215193540538 2.90346707893388 2.28071681047417 3.00683796380569 2.219586579482 2.5932377746016 1.8628420690047 2.36709982112431
"CENPC" 0.748189677104435 1.07873694951541 0.84203351088237 0.476698991507583 0.434212499527228 1.03518217557895 0.82934478397836 0.494507839212496 -0.0231702773586755 0.790854700235283 0.863640034088014 0.994090033453952 0.739824503063259 1.14203519073236 0.50826657546822
"CENPT" 2.13721098925608 1.20839509393307 1.47738032320252 1.63169313699369 1.62649884784594 1.17759603006271 1.51274783118464 1.84273375764161 1.2090089011178 1.46626795373066 1.65817962769362 1.61317713827564 1.33819556543424 1.02811523077609 1.95142955320468
"CHAMP1" 1.4515718658579 2.05575082763539 2.03132187076777 2.06596291145297 1.55883703188704 0.985780782270797 1.5563605235046 1.21515360151812 1.16977539103688 1.69734396476803 1.66609497110687 1.96154426865462 2.3596927873915 1.72652311470669 1.59162854290025
"CHAT" -2.2368253780697 -2.29641658302636 -2.22769501193271 -2.23995807152497 -2.15072412532893 -2.28442779682878 -2.09615281145231 -2.25702888066539 -2.29848302208211 -2.00754933749394 -1.83033339007227 -2.12261157660353 -2.14854519671153 -2.03990311337415 -2.13141629127065
"CHD1" 1.0969744928649 1.89969024488177 1.39235745502328 1.45392765443772 1.09811832879967 0.923738799021696 1.56951127567887 1.15068951883948 0.691876120722437 1.40227726686503 1.17409022409724 1.02967619365087 1.63596666182367 1.30705391324969 1.08949803318091
"CHD2" 1.69326715313623 1.8991628964627 1.74083984027309 1.4935975086154 1.55980464254696 1.84058541390041 1.75574307852145 1.58422154799549 0.951215565161798 1.92242684754131 1.70026433277324 1.89649306804717 1.81078673427553 2.0989248952426 1.60237113571405
