"likelihood" "bart" "expr" "rank_size"
"1" 0.5 0.687 -0.443885227499887 7
"2" 0.5 0.767 0.1291613031216 2
"3" 0.5 0.779 -0.571560196886698 9
"4" 0.5 0.433 -0.444164706626744 8
"5" 0.5 0.573 -0.847113729909784 12
"6" 0.5 0.789 -0.727731547676304 10
"7" 0.5 0.298 -0.0854246623014037 5
"8" 0.5 0.602 -0.980750557805709 14
"9" 0.5 0.742 -1.35883505257298 15
"10" 0.5 0.558 -0.812594078256273 11
"11" 0.5 0.781 -0.877294629707465 13
"12" 0.5 0.617 -0.0130479168310337 4
"13" 0.5 0.274 -0.00376691347636665 3
"14" 0.5 0.461 -0.286993348093858 6
"15" 0.5 0.725 0.257233369087677 1
